"행정구역(동읍면)별","항목",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"행정구역(동읍면)별","항목",계,계,계,계,계,계,계,계,계,계,계,계,계
"종로구","총인구수 (명)",168382,165207,160070,156993,154986,152737,154770,153065,151290,149384,144683,141379,139417
"중구","총인구수 (명)",133193,133360,130465,128065,125733,125249,125709,125725,126171,125240,122499,120437,121312
"용산구","총인구수 (명)",246501,243232,239740,235951,233342,230241,229161,228999,228670,230040,222953,218650,213151
"성동구","총인구수 (명)",300711,299604,299337,296086,297003,299259,304808,308221,300889,293556,285990,281000,277361
"광진구","총인구수 (명)",371936,371313,368927,363354,360369,357215,357703,355559,351350,346682,339996,337416,335554
"동대문구","총인구수 (명)",365486,363258,364273,363687,360153,355069,350647,348052,346194,342837,337400,336644,341149
"중랑구","총인구수 (명)",423706,419295,416798,418836,413909,411005,408226,403209,397015,394702,387350,385318,382155
"성북구","총인구수 (명)",485171,481857,476589,466706,459275,450355,444055,435868,442650,437153,430528,430397,425602
"강북구","총인구수 (명)",345054,343157,338707,335025,330873,327195,324479,319164,313954,308055,299182,293660,288113
"도봉구","총인구수 (명)",365573,362270,358582,353709,351242,348220,344166,339413,333362,325257,317366,311694,306948
"노원구","총인구수 (명)",603930,597189,590479,582552,574583,567581,554403,543752,532905,523037,510956,503734,498213
"은평구","총인구수 (명)",493634,501480,503660,498644,497920,491476,486794,483197,480032,479835,473307,466746,466770
"서대문구","총인구수 (명)",314852,315113,314110,310376,312141,314194,312800,310313,309397,312173,304819,306337,306231
"마포구","총인구수 (명)",389493,384644,381856,385439,387643,379892,374915,375077,374035,371890,368905,364638,363697
"양천구","총인구수 (명)",500210,495911,492528,486221,484532,477739,471154,464185,458165,454251,447302,440881,436028
"강서구","총인구수 (명)",569072,567431,569070,585160,589074,595485,601691,596949,591796,580185,574315,569166,563058
"구로구","총인구수 (명)",427468,427520,424964,425831,422092,417551,410742,404497,406664,404408,396754,395315,392405
"금천구","총인구수 (명)",243438,243288,241020,238463,236284,235386,235154,233917,232810,231733,230811,229642,227481
"영등포구","총인구수 (명)",397443,391408,386471,382352,378504,370613,368550,367778,367678,379480,376837,375675,374794
"동작구","총인구수 (명)",401408,405491,410815,407470,400641,400997,396217,396203,395963,391220,385483,380596,378769
"관악구","총인구수 (명)",526397,523029,518028,513186,509663,506851,503297,501957,500094,495060,485699,486752,481956
"서초구","총인구수 (명)",433564,435044,441763,449678,446764,447192,441102,433951,430826,425126,412279,404325,407664
"강남구","총인구수 (명)",565710,564197,563599,578114,576495,567115,556164,542364,545169,539231,533042,529102,544873
"송파구","총인구수 (명)",682209,673115,668415,664738,660302,657831,664496,666635,675961,667960,658338,658801,654166
"강동구","총인구수 (명)",495138,487905,483379,476597,458658,444168,436223,427573,436067,459970,462664,460067,459167
